--------- beginning of system
06-28 18:38:53.561  1114  1823 D SecurityProfileDB:                     "digest": "AyxPO+T8EMGK\/g8wVSPiiO2znTSj\/u2HjrUHL94IaQI=",
06-28 18:38:53.561  1114  1823 D SecurityProfileDB:                     "signature_scheme": "v2"
06-28 18:38:53.561  1114  1823 D SecurityProfileDB:                 },
06-28 18:38:53.561  1114  1823 D SecurityProfileDB:                 "rules": [],
06-28 18:38:53.561  1114  1823 D SecurityProfileDB:                 "labels": [
06-28 18:38:53.561  1114  1823 D SecurityProfileDB:                     "NORMAL"
06-28 18:38:53.561  1114  1823 D SecurityProfileDB:                 ]
06-28 18:38:53.561  1114  1823 D SecurityProfileDB:             }
06-28 18:38:53.561  1114  1823 D SecurityProfileDB:         ],
06-28 18:38:53.561  1114  1823 D SecurityProfileDB:         "com.taobao.taobao": [
06-28 18:38:53.561  1114  1823 D SecurityProfileDB:   
06-28 18:38:53.562  2017  2247 I chatty  : uid=1000(system) NatTrafficNotif expire 10 lines
06-28 18:38:53.562 31111 31976 D HwNaturalBase:RemoteIndexSearchService: [Binder:31111_4]: FileIndexManagerService deleteIndexWithPrefix end
06-28 18:38:53.563  2017  2017 I chatty  : uid=1000(system) com.huawei.systemmanager:service expire 3 lines
06-28 18:38:53.563   516   516 I chatty  : uid=1000(system) keymaster@3.0-s expire 64 lines
06-28 18:38:53.565 31111 31976 D HwNaturalBase:RemoteIndexSearchService: [Binder:31111_4]: FileIndexManager deleteFileIndexWithPrefix ends, returnResult = 512
06-28 18:38:53.575  1920  2896 D HwNaturalBase: [IndexTaskerHandler[HandlerThread]]: RemoteIndexSearchManager all buildIndex ends
06-28 18:38:53.575  1900  2154 I chatty  : uid=1000(system) BD.BDRecorder expire 10 lines
06-28 18:38:53.577  2017  2703 I chatty  : uid=1000(system) HsmExecutor #8 expire 1 line
06-28 18:38:53.577  1114  6779 D HwNetworkManagementService: code == CODE_SET_APK_DL_STRATEGY
06-28 18:38:53.578  1114  6779 D HwNetworkManagementService: CODE_SET_APK_DL_STRATEGY, pkgName=[com.baidu.searchbox, com.android.browser], needReset=false
06-28 18:38:53.578  1114  6779 D HwNetworkManagementService: convertPkgNameToUid, pkgName=[com.baidu.searchbox, com.android.browser]
06-28 18:38:53.578  1114  6779 D HwNetworkManagementService: convertPkgNameToUid, pkg=com.baidu.searchbox, uid=10125, under user.id=0
06-28 18:38:53.578  1114  6779 D HwNetworkManagementService: convertPkgNameToUid, pkg=com.android.browser, uid=10104, under user.id=0
06-28 18:38:53.578  1114  6779 D HwNetworkManagementService: CODE_SET_APK_DL_STRATEGY, appUidList=[10125;10104;]
06-28 18:38:53.578  1114  6779 D HwNetworkManagementService: setApkDlFilterRules, appUidList=[10125;10104;], needReset=false
06-28 18:38:53.579  1114  6779 D NetdConnector: SND -> {2608 hwfilter set_apkdl_strategy_rule 10125;10104; not_reset}
06-28 18:38:53.580   574   606 W CommandListener: hwad: HwFilterCommand::runCommand argc=4 
06-28 18:38:53.580   574   606 W CommandListener: hwad: HwFilterCommand::runCommand argc=0 argv=hwfilter
06-28 18:38:53.580   574   606 W CommandListener: hwad: HwFilterCommand::runCommand argc=1 argv=set_apkdl_strategy_rule
06-28 18:38:53.580   574   606 W CommandListener: hwad: HwFilterCommand::runCommand argc=2 argv=10125;10104;
06-28 18:38:53.580   574   606 W CommandListener: hwad: HwFilterCommand::runCommand argc=3 argv=not_reset
06-28 18:38:53.580 13352 13352 W ContextImpl: Calling a method in the system process without a qualified user: android.app.ContextImpl.startService:1796 android.content.ContextWrapper.startService:664 android.content.ContextWrapper.startService:664 com.android.settings.applications.BlackListReceiver.onReceive:41 android.app.ActivityThread.handleReceiver:3856 
06-28 18:38:53.580   574   606 I HwFilterController: 
06-28 18:38:53.580   574   606 I HwFilterController: hwad:set_apkdl_strategy_rule bRet=0
06-28 18:38:53.580   574   606 I         : hwad:send_msg_to_kernel
06-28 18:38:53.581  1114  1555 D NetdConnector: RCV <- {200 2608 success}
06-28 18:38:53.581  1114  1555 D NetdConnector: RCV <- {200 2608 success}
06-28 18:38:53.589  1920  2896 D HwNaturalBase: [IndexTaskerHandler[HandlerThread]]: RemoteIndexSearchManager ensureIndexSearchServiceUnBound
06-28 18:38:53.589  1920  2896 D HwNaturalBase: [IndexTaskerHandler[HandlerThread]]: IndexTasker:  IndexTasker ends
06-28 18:38:53.589  1920  2896 D HwNaturalBase: [IndexTaskerHandler[HandlerThread]]: IndexTasker:  IndexTasker start
06-28 18:38:53.598  1920  2896 W ContextImpl: Calling a method in the system process without a qualified user: android.app.ContextImpl.bindService:1876 android.content.ContextWrapper.bindService:698 com.huawei.nb.searchmanager.service.RemoteIndexSearchManager.ensureIndexSearchServiceBound:342 com.huawei.nb.searchmanager.service.RemoteIndexSearchManager.buildIndex:287 com.huawei.nb.searchmanager.tasker.IndexTasker.doIndexTaskerAction:94 
06-28 18:38:53.606 31111 31111 I HwNaturalBase:RemoteIndexSearchService: [main]: Connection to NaturalBase Data Service is closed.
06-28 18:38:53.614 31111  6657 W ContextImpl: Calling a method in the system process without a qualified user: android.app.ContextImpl.bindService:1876 android.content.ContextWrapper.bindService:698 com.huawei.nb.client.RemoteServiceConnection.open:90 com.huawei.nb.client.DataServiceProxy.connect:129 com.huawei.nb.searchmanager.searchengine.service.RemoteIndexSearchService.getDataServiceProxy:121 
06-28 18:38:53.623  3662  5946 I ContentMaintenance: Internal cache bytes used: 0; limit: 100000000; download size: 0
06-28 18:38:53.626  1114  4778 I chatty  : uid=1000(system) Binder:1114_11 expire 2 lines
06-28 18:38:53.632 31111 31111 I HwNaturalBase:RemoteIndexSearchService: [main]: Succeed to connect to NaturalBase Data Service.
06-28 18:38:53.632  1920  2896 D HwNaturalBase: [IndexTaskerHandler[HandlerThread]]: RemoteIndexSearchManager ensureIndexSearchServiceBound
06-28 18:38:53.633 31111 31126 D HwNaturalBase:RemoteIndexSearchService: [Binder:31111_1]: FileIndexManager deleteFileIndexWithPrefix starts
06-28 18:38:53.633  3662  5946 I RealtimeCacheCleanup: Beginning Realtime garbage collection.
06-28 18:38:53.634  3662  5946 I RealtimeCacheCleanup: Finished Realtime garbage collection.
06-28 18:38:53.637  1114  1823 D SecurityProfileService: updateDomainPolicies,packageList:[com.mixgo.PropertySEO]
06-28 18:38:53.637  1114  1823 D SecurityProfileService: resolveActiveDomainPolicies packageName com.mixgo.PropertySEO
06-28 18:38:53.637  1114  1823 D SecurityProfileUtils: getInstalledApkPath name not found,packageName:com.mixgo.PropertySEO,userId:0
06-28 18:38:53.637  1114  1823 E SecurityProfileService: resolveActiveDomainPolicies packagePath is null
06-28 18:38:53.639  1114  1823 D SecurityProfileDB: writing: {
06-28 18:38:53.639  1114  1823 D SecurityProfileDB:     "overlay_labels": {},
